job_id,title,role_id,role_title,category,company,company_type,company_tier,location,location_tier,min_experience_years,max_experience_years,avg_experience_years,required_skills,preferred_skills,all_skills,salary_min_lpa,salary_max_lpa,salary_mid_lpa,description,posted_days_ago,applicants_count
JOB-1013,Junior Analytics Engineer,analytics_engineer,Analytics Engineer,Analytics & Engineering,Flipkart,High-Growth Unicorn,Tier-1,"Kolkata, West Bengal",Tier-3,0,1,0,"looker,bigquery,sql,snowflake,databricks,data_structures_algorithms,git,python,etl_pipelines,dbt","ci_cd,tableau","looker,bigquery,sql,snowflake,databricks,tableau,data_structures_algorithms,git,ci_cd,python,etl_pipelines,dbt",7.2,17.7,12.4,"We are hiring a talented Analytics Engineer to join Flipkart in Kolkata, West Bengal. Bridges the gap between data analytics and data engineering using dbt, SQL modeling, and modern data stack warehouses. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 0+ years of experience with Looker, Bigquery, Sql, Snowflake, Databricks, Data Structures Algorithms, Git, Python, Etl Pipelines, Dbt. Preferred / Good to have: Ci Cd, Tableau. Strong analytical mindset, problem-solving, and communication skills required.",9,217
JOB-1014,Junior Associate Business Intelligence Analyst,bi_analyst,Business Intelligence Analyst,Analytics,Ola Electric,EV Tech Unicorn,Tier-1,"Ahmedabad, Gujarat",Tier-3,1,3,1,"communication,sql,excel,tableau,statistics,power_bi,business_intelligence",python,"communication,sql,excel,tableau,statistics,power_bi,business_intelligence,python",4.9,10.8,7.9,"We are hiring a talented Business Intelligence Analyst to join Ola Electric in Ahmedabad, Gujarat. Transforms business data into strategic executive dashboards, reports, and predictive trend analyses. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 1+ years of experience with Communication, Sql, Excel, Tableau, Statistics, Power Bi, Business Intelligence. Preferred / Good to have: Python. Strong analytical mindset, problem-solving, and communication skills required.",27,293
JOB-1015,Principal Quantitative Research Analyst,quant_analyst,Quantitative Research Analyst,Analytics & Finance,Ola Electric,EV Tech Unicorn,Tier-1,Remote (India),Remote,10,15,15,"machine_learning,cpp,sql,python,pandas,statistics,time_series",matlab,"time_series,machine_learning,cpp,sql,matlab,pandas,statistics,python",53.6,145.1,99.3,"We are hiring a talented Quantitative Research Analyst to join Ola Electric in Remote (India). Develops mathematical trading algorithms, risk models, statistical arbitrage strategies, and market backtests. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 15+ years of experience with Machine Learning, Cpp, Sql, Python, Pandas, Statistics, Time Series. Preferred / Good to have: Matlab. Strong analytical mindset, problem-solving, and communication skills required.",10,324
JOB-1016,Mid-Level Specialist Product & Growth Analyst,product_analyst,Product & Growth Analyst,Analytics,Target India,Retail Enterprise,Tier-2,"Mumbai, Maharashtra",Tier-1,3,6,5,"product_analytics,sql,collaboration,statistics,power_bi,business_intelligence,python","pandas,communication","communication,product_analytics,sql,collaboration,pandas,statistics,power_bi,business_intelligence,python",11.8,27.1,19.5,"We are hiring a talented Product & Growth Analyst to join Target India in Mumbai, Maharashtra. Drives product experimentation, user funnel optimization, cohort retention, and A/B test analysis. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 5+ years of experience with Product Analytics, Sql, Collaboration, Statistics, Power Bi, Business Intelligence, Python. Preferred / Good to have: Pandas, Communication. Strong analytical mindset, problem-solving, and communication skills required.",15,297
JOB-1017,Junior Quantitative Research Analyst,quant_analyst,Quantitative Research Analyst,Analytics & Finance,Accenture Applied Intelligence,Global IT Consulting,Tier-2,"Kolkata, West Bengal",Tier-3,0,1,0,"time_series,machine_learning,sql,r,scikit_learn,numpy,statistics,python","cpp,excel","machine_learning,cpp,sql,r,excel,python,scikit_learn,numpy,statistics,time_series",8.7,22.3,15.5,"We are hiring a talented Quantitative Research Analyst to join Accenture Applied Intelligence in Kolkata, West Bengal. Develops mathematical trading algorithms, risk models, statistical arbitrage strategies, and market backtests. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 0+ years of experience with Time Series, Machine Learning, Sql, R, Scikit Learn, Numpy, Statistics, Python. Preferred / Good to have: Cpp, Excel. Strong analytical mindset, problem-solving, and communication skills required.",12,122
JOB-1018,Junior Associate Database Administrator & Architect (DBA),database_administrator,Database Administrator & Architect (DBA),Engineering,Razorpay,Fintech Unicorn,Tier-1,"Hyderabad, Telangana",Tier-1,1,3,3,"redis,mysql,postgresql,sql,linux,mongodb,system_design,python","aws,docker,bash","redis,mysql,postgresql,sql,linux,docker,bash,aws,mongodb,system_design,python",12.0,32.0,22.0,"We are hiring a talented Database Administrator & Architect (DBA) to join Razorpay in Hyderabad, Telangana. Maintains database reliability, replication, query tuning, indexing optimization, and high availability clusters. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 3+ years of experience with Redis, Mysql, Postgresql, Sql, Linux, Mongodb, System Design, Python. Preferred / Good to have: Aws, Docker, Bash. Strong analytical mindset, problem-solving, and communication skills required.",26,142
JOB-1019,Junior Associate NLP / LLM Engineer,nlp_engineer,NLP / LLM Engineer,Data Science,Mu Sigma,Analytics Consultancy,Tier-2,"Hyderabad, Telangana",Tier-1,1,3,1,"machine_learning,scikit_learn,llms,pytorch,nlp,deep_learning,python","rest_apis,system_design","machine_learning,scikit_learn,system_design,llms,pytorch,rest_apis,nlp,deep_learning,python",10.3,26.6,18.5,"We are hiring a talented NLP / LLM Engineer to join Mu Sigma in Hyderabad, Telangana. Develops conversational AI systems, RAG pipelines, LLM fine-tuning, and semantic search architectures. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 1+ years of experience with Machine Learning, Scikit Learn, Llms, Pytorch, Nlp, Deep Learning, Python. Preferred / Good to have: Rest Apis, System Design. Strong analytical mindset, problem-solving, and communication skills required.",25,157
JOB-1020,Mid-Level Specialist AI / Deep Learning Research Scientist,ai_research_scientist,AI / Deep Learning Research Scientist,Data Science & AI,Uber Engineering,Tech Giant,Tier-1,"Noida, Uttar Pradesh",Tier-2,3,6,5,"machine_learning,tensorflow,pytorch,numpy,statistics,deep_learning,python",llms,"machine_learning,llms,numpy,pytorch,tensorflow,statistics,deep_learning,python",30.5,82.9,56.7,"We are hiring a talented AI / Deep Learning Research Scientist to join Uber Engineering in Noida, Uttar Pradesh. Pioneers novel deep learning architectures, foundational model pre-training, and mathematical optimization. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 5+ years of experience with Machine Learning, Tensorflow, Pytorch, Numpy, Statistics, Deep Learning, Python. Preferred / Good to have: Llms. Strong analytical mindset, problem-solving, and communication skills required.",17,74
JOB-1021,Entry Level Backend Software Engineer,backend_developer,Backend Software Engineer,Software Engineering,Infosys Center of AI,IT Services & Enterprise,Tier-2,Gurgaon / Delhi NCR,Tier-1,0,1,1,"redis,postgresql,linux,docker,rest_apis,data_structures_algorithms,git,ci_cd,python","kubernetes,fastapi","redis,postgresql,linux,docker,fastapi,rest_apis,kubernetes,data_structures_algorithms,git,ci_cd,python",6.6,16.6,11.6,"We are hiring a talented Backend Software Engineer to join Infosys Center of AI in Gurgaon / Delhi NCR. Architects resilient server-side applications, database schemas, REST APIs, and microservices. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 1+ years of experience with Redis, Postgresql, Linux, Docker, Rest Apis, Data Structures Algorithms, Git, Ci Cd, Python. Preferred / Good to have: Kubernetes, Fastapi. Strong analytical mindset, problem-solving, and communication skills required.",23,166
JOB-1022,Junior Associate Site Reliability Engineer (SRE),sre_engineer,Site Reliability Engineer (SRE),Cloud & Infrastructure,Tiger Analytics,Analytics Consultancy,Tier-2,"Mumbai, Maharashtra",Tier-1,1,3,2,"linux,docker,terraform,bash,kubernetes,system_design,ci_cd,python",git,"terraform,linux,docker,bash,kubernetes,system_design,git,ci_cd,python",12.0,33.2,22.6,"We are hiring a talented Site Reliability Engineer (SRE) to join Tiger Analytics in Mumbai, Maharashtra. Guarantees system uptime, high availability, automated incident recovery, and telemetry monitoring. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 2+ years of experience with Linux, Docker, Terraform, Bash, Kubernetes, System Design, Ci Cd, Python. Preferred / Good to have: Git. Strong analytical mindset, problem-solving, and communication skills required.",17,257
JOB-1023,Junior Associate AI Product Manager,ai_product_manager,AI Product Manager,Product & Strategy,Mu Sigma,Analytics Consultancy,Tier-2,"Hyderabad, Telangana",Tier-1,1,3,3,"communication,machine_learning,leadership,agile_scrum,business_intelligence,python",tableau,"communication,machine_learning,leadership,tableau,agile_scrum,business_intelligence,python",11.6,37.8,24.7,"We are hiring a talented AI Product Manager to join Mu Sigma in Hyderabad, Telangana. Bridges machine learning technical teams and executive business strategy to build high-impact AI products. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 3+ years of experience with Communication, Machine Learning, Leadership, Agile Scrum, Business Intelligence, Python. Preferred / Good to have: Tableau. Strong analytical mindset, problem-solving, and communication skills required.",20,52
JOB-1024,Entry Level Full Stack Developer,full_stack_developer,Full Stack Developer,Software Engineering,KPMG Tech Consulting,Consulting Tier-1,Tier-2,Remote (India),Remote,0,1,1,"postgresql,javascript,node_js,rest_apis,react,git,ci_cd,python","aws,vue","vue,postgresql,javascript,node_js,aws,rest_apis,react,git,ci_cd,python",7.1,18.7,12.9,"We are hiring a talented Full Stack Developer to join KPMG Tech Consulting in Remote (India). Builds end-to-end user interfaces, web applications, backend services, and database layers. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 1+ years of experience with Postgresql, Javascript, Node Js, Rest Apis, React, Git, Ci Cd, Python. Preferred / Good to have: Aws, Vue. Strong analytical mindset, problem-solving, and communication skills required.",5,252
JOB-1025,Junior Associate Database Administrator & Architect (DBA),database_administrator,Database Administrator & Architect (DBA),Engineering,Atlassian India,Product Tech,Tier-1,"Kolkata, West Bengal",Tier-3,1,3,2,"redis,mysql,postgresql,linux,docker,mongodb,system_design",python,"redis,mysql,postgresql,linux,docker,mongodb,system_design,python",8.7,24.5,16.6,"We are hiring a talented Database Administrator & Architect (DBA) to join Atlassian India in Kolkata, West Bengal. Maintains database reliability, replication, query tuning, indexing optimization, and high availability clusters. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 2+ years of experience with Redis, Mysql, Postgresql, Linux, Docker, Mongodb, System Design. Preferred / Good to have: Python. Strong analytical mindset, problem-solving, and communication skills required.",25,281
JOB-1026,Junior Associate Mobile App Developer (iOS / Android / Flutter),mobile_developer,Mobile App Developer (iOS / Android / Flutter),Software Engineering,Razorpay,Fintech Unicorn,Tier-1,Gurgaon / Delhi NCR,Tier-1,1,3,3,"swift,kotlin,flutter,rest_apis,data_structures_algorithms,react,git","system_design,ci_cd","swift,kotlin,flutter,system_design,rest_apis,data_structures_algorithms,react,git,ci_cd",10.2,31.5,20.9,"We are hiring a talented Mobile App Developer (iOS / Android / Flutter) to join Razorpay in Gurgaon / Delhi NCR. Develops native and cross-platform mobile experiences for iOS and Android with intuitive touch UX. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 3+ years of experience with Swift, Kotlin, Flutter, Rest Apis, Data Structures Algorithms, React, Git. Preferred / Good to have: System Design, Ci Cd. Strong analytical mindset, problem-solving, and communication skills required.",11,292
JOB-1027,Entry Level Full Stack Developer,full_stack_developer,Full Stack Developer,Software Engineering,KPMG Tech Consulting,Consulting Tier-1,Tier-2,"Bangalore, Karnataka",Tier-1,0,1,1,"postgresql,javascript,node_js,rest_apis,mongodb,react,git,ci_cd,python",vue,"vue,postgresql,javascript,node_js,mongodb,rest_apis,react,git,ci_cd,python",6.9,21.5,14.2,"We are hiring a talented Full Stack Developer to join KPMG Tech Consulting in Bangalore, Karnataka. Builds end-to-end user interfaces, web applications, backend services, and database layers. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 1+ years of experience with Postgresql, Javascript, Node Js, Rest Apis, Mongodb, React, Git, Ci Cd, Python. Preferred / Good to have: Vue. Strong analytical mindset, problem-solving, and communication skills required.",1,214
JOB-1028,Mid-Level Specialist Computer Vision Engineer,cv_engineer,Computer Vision Engineer,Data Science,EY GDS,Consulting Tier-1,Tier-2,"Pune, Maharashtra",Tier-1,3,6,4,"cpp,linux,tensorflow,pytorch,deep_learning,python",git,"cpp,linux,tensorflow,pytorch,deep_learning,git,python",13.9,37.2,25.6,"We are hiring a talented Computer Vision Engineer to join EY GDS in Pune, Maharashtra. Designs deep learning algorithms for video analysis, object detection, robotics, and image processing. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 4+ years of experience with Cpp, Linux, Tensorflow, Pytorch, Deep Learning, Python. Preferred / Good to have: Git. Strong analytical mindset, problem-solving, and communication skills required.",11,123
JOB-1029,Mid-Level Specialist Full Stack Developer,full_stack_developer,Full Stack Developer,Software Engineering,Ola Cabs,High-Growth Unicorn,Tier-1,"Chennai, Tamil Nadu",Tier-2,3,6,6,"typescript,postgresql,javascript,node_js,docker,rest_apis,react,git,python","aws,ci_cd,redis","redis,typescript,postgresql,javascript,docker,node_js,aws,rest_apis,react,git,ci_cd,python",10.9,31.8,21.4,"We are hiring a talented Full Stack Developer to join Ola Cabs in Chennai, Tamil Nadu. Builds end-to-end user interfaces, web applications, backend services, and database layers. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 6+ years of experience with Typescript, Postgresql, Javascript, Node Js, Docker, Rest Apis, React, Git, Python. Preferred / Good to have: Aws, Ci Cd, Redis. Strong analytical mindset, problem-solving, and communication skills required.",5,137
JOB-1030,Junior Associate Business Intelligence Analyst,bi_analyst,Business Intelligence Analyst,Analytics,Qualcomm India,Hardware & AI,Tier-1,"Hyderabad, Telangana",Tier-1,1,3,1,"looker,sql,excel,tableau,statistics,power_bi,business_intelligence,python",problem_solving,"problem_solving,looker,sql,excel,tableau,statistics,power_bi,business_intelligence,python",7.2,14.5,10.8,"We are hiring a talented Business Intelligence Analyst to join Qualcomm India in Hyderabad, Telangana. Transforms business data into strategic executive dashboards, reports, and predictive trend analyses. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 1+ years of experience with Looker, Sql, Excel, Tableau, Statistics, Power Bi, Business Intelligence, Python. Preferred / Good to have: Problem Solving. Strong analytical mindset, problem-solving, and communication skills required.",19,368
JOB-1031,Mid-Level Specialist QA Automation & SDET Engineer,sdet_qa_engineer,QA Automation & SDET Engineer,Software Engineering,Razorpay,Fintech Unicorn,Tier-1,"Hyderabad, Telangana",Tier-1,3,6,5,"problem_solving,javascript,linux,docker,qa_automation,rest_apis,git,python",java,"problem_solving,linux,javascript,docker,qa_automation,rest_apis,java,git,python",11.3,27.9,19.6,"We are hiring a talented QA Automation & SDET Engineer to join Razorpay in Hyderabad, Telangana. Authors automated test suites, end-to-end integration frameworks, and load testing harnesses. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 5+ years of experience with Problem Solving, Javascript, Linux, Docker, Qa Automation, Rest Apis, Git, Python. Preferred / Good to have: Java. Strong analytical mindset, problem-solving, and communication skills required.",12,340
JOB-1032,Entry Level Full Stack Developer,full_stack_developer,Full Stack Developer,Software Engineering,Fractal Analytics,Analytics Consultancy,Tier-2,"Noida, Uttar Pradesh",Tier-2,0,1,1,"typescript,postgresql,node_js,docker,rest_apis,react,git,python","mongodb,vue","vue,typescript,postgresql,docker,node_js,rest_apis,mongodb,react,git,python",6.6,19.2,12.9,"We are hiring a talented Full Stack Developer to join Fractal Analytics in Noida, Uttar Pradesh. Builds end-to-end user interfaces, web applications, backend services, and database layers. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 1+ years of experience with Typescript, Postgresql, Node Js, Docker, Rest Apis, React, Git, Python. Preferred / Good to have: Mongodb, Vue. Strong analytical mindset, problem-solving, and communication skills required.",22,209
JOB-1033,Senior Engineer Computer Vision Engineer,cv_engineer,Computer Vision Engineer,Data Science,Microsoft IDC,Tech Giant,Tier-1,"Ahmedabad, Gujarat",Tier-3,6,10,7,"cpp,docker,scikit_learn,pytorch,tensorflow,computer_vision,deep_learning,git,python",linux,"cpp,linux,docker,scikit_learn,tensorflow,pytorch,computer_vision,deep_learning,git,python",21.9,59.9,40.9,"We are hiring a talented Computer Vision Engineer to join Microsoft IDC in Ahmedabad, Gujarat. Designs deep learning algorithms for video analysis, object detection, robotics, and image processing. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 7+ years of experience with Cpp, Docker, Scikit Learn, Pytorch, Tensorflow, Computer Vision, Deep Learning, Git, Python. Preferred / Good to have: Linux. Strong analytical mindset, problem-solving, and communication skills required.",23,258
